Condition,LZc,Integration,rE_Hz,dLZc_%,dInteg_%
Baseline,0.9461,0.0069,3.62,0.0,0.0
LSD/DMT,1.0053,0.0024,3.3,6.3,-65.2
N2O,0.9067,0.0055,3.93,-4.2,-20.3
COMBO,0.969,0.0017,3.49,2.4,-75.4
